Age_Group,Gender,City_Tier,State,Occupation,Monthly_Income,Handcrafted_Frequency,Purchase_Channel,Primary_Factor,Design_Preference,Preferred_Products,Bag_Type,Decor_Preference,Embroidery_Level,Mirror_Work,Color_Family,Purchase_Occasion,Budget_Handbag,Budget_Apparel,Budget_HomeDecor,Discount_Influence,Preferred_Offer,Online_Trust_Buy,Trust_Factor,Authenticity_Score,Limited_Edition_Preference,Purchase_Interest
41-50,Male,Metro,Maharashtra,Homemaker,25000-50000,Occasionally,Instagram stores,Utility,Minimal modern,"Cushion covers, Gift sets",Office handbag,Table runners,Heavy embroidery,Strong mirror work,Earth tones,Gifting,1000-2000,2000-4000,1500-3000,No,Free shipping,No,Return policy,2,No,Unsure
21-30,Male,Metro,Karnataka,Business Owner,,Frequently,Retail stores,Price,Minimal modern,"Jackets / shrugs, Gift sets",Tote bag,Decorative organizers,Moderate embroidery,Light mirror work,Pastel shades,Festive use,Below 500,Below 1000,Below 500,Sometimes,Festival combo pack,No,Return policy,4,No,Unsure
31-40,Female,Tier 3 / Rural,Maharashtra,Business Owner,100000-200000,Frequently,Local exhibitions,Authenticity,Depends on product,"Laptop sleeves / utility pouches, Cushion covers",Office handbag,Cushion covers,Moderate embroidery,No mirror work,Pastel shades,Office use,Below 500,Below 1000,Above 3000,No,Flat discount,Yes,Reviews,2,Yes,Unlikely
21-30,Male,Tier 1,Telangana,Other,50000-100000,Occasionally,Retail stores,Authenticity,Minimal modern,Handbags,Office handbag,Wall décor textile,Minimal embroidery,Strong mirror work,Earth tones,Daily use,Below 500,Below 1000,Below 500,No,Buy 2 Get 1,No,Product images,2,Yes,Unlikely
31-40,Female,Tier 2,Delhi,Homemaker,100000-200000,Frequently,Retail stores,Brand,Fusion,Cushion covers,Office handbag,Decorative organizers,Heavy embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,Above 4000,Above 3000,No,Free shipping,Yes,Return policy,1,Yes,Likely
21-30,Male,Metro,Rajasthan,Freelancer,Above 200000,Occasionally,Local exhibitions,Authenticity,Fusion,"Jackets / shrugs, Gift sets, Handbags",Clutch,Cushion covers,Moderate embroidery,Strong mirror work,Bright colors,Gifting,500-1000,2000-4000,Above 3000,Sometimes,Buy 2 Get 1,No,Reviews,1,No,Unsure
21-30,Male,Tier 2,West Bengal,Salaried Employee,Above 200000,Occasionally,Retail stores,Utility,Minimal modern,"Laptop sleeves / utility pouches, Cushion covers, Handbags",Tote bag,Wall décor textile,Moderate embroidery,Strong mirror work,Pastel shades,Weddings,Above 2000,2000-4000,Above 3000,No,Buy 2 Get 1,No,Brand story,1,Yes,Unsure
31-40,Female,Tier 1,Rajasthan,Freelancer,Above 200000,Frequently,Online marketplaces,Design,Traditional,Gift sets,Office handbag,Decorative organizers,Moderate embroidery,Strong mirror work,Bright colors,Weddings,500-1000,2000-4000,Above 3000,Sometimes,Free shipping,No,Return policy,4,Yes,Unlikely
Above 50,Female,Tier 3 / Rural,Maharashtra,Student,25000-50000,Rarely,During travel,Price,Fusion,Gift sets,Tote bag,Cushion covers,Heavy embroidery,No mirror work,Bright colors,Gifting,1000-2000,Below 1000,Above 3000,No,Buy 2 Get 1,Depends on reviews,Product images,4,Yes,Likely
Above 50,Female,Tier 2,Tamil Nadu,Other,Below 25000,Frequently,During travel,Utility,Traditional,"Gift sets, Handbags",Clutch,Decorative organizers,Moderate embroidery,Light mirror work,Bright colors,Office use,Below 500,Above 4000,500-1500,Strongly yes,Flat discount,Yes,Product images,5,Yes,Very unlikely
21-30,Male,Tier 3 / Rural,Delhi,Salaried Employee,100000-200000,Occasionally,Retail stores,Price,Fusion,"Jackets / shrugs, Gift sets, Handbags",Office handbag,Wall décor textile,Moderate embroidery,Light mirror work,Black / neutral,Festive use,Above 2000,Below 1000,1500-3000,Sometimes,Buy 2 Get 1,Depends on reviews,Reviews,5,Yes,Highly likely
41-50,Female,Tier 2,Gujarat,Freelancer,25000-50000,Never,Local exhibitions,Brand,Fusion,Jackets / shrugs,Sling bag,Wall décor textile,Heavy embroidery,Strong mirror work,Black / neutral,Gifting,Below 500,2000-4000,1500-3000,Strongly yes,Festival combo pack,Depends on reviews,Product images,4,Yes,Likely
21-30,Male,Tier 1,Rajasthan,Freelancer,50000-100000,Never,During travel,Design,Fusion,"Gift sets, Jackets / shrugs",Tote bag,Wall décor textile,Moderate embroidery,Light mirror work,Pastel shades,Festive use,Above 2000,Below 1000,1500-3000,No,Free shipping,No,Reviews,4,Yes,Unlikely
Above 50,Male,Tier 3 / Rural,Gujarat,Other,Below 25000,Occasionally,Instagram stores,Authenticity,Depends on product,"Gift sets, Jackets / shrugs, Laptop sleeves / utility pouches",Clutch,Cushion covers,Heavy embroidery,Strong mirror work,Black / neutral,Festive use,Below 500,2000-4000,Above 3000,No,Flat discount,No,Brand story,3,No,Unlikely
41-50,Female,Metro,Tamil Nadu,Freelancer,50000-100000,Rarely,Instagram stores,Design,Traditional,Jackets / shrugs,Tote bag,Decorative organizers,Moderate embroidery,Light mirror work,Bright colors,Office use,500-1000,2000-4000,Below 500,Sometimes,Festival combo pack,Depends on reviews,Product images,4,No,Very unlikely
41-50,Female,Tier 3 / Rural,Maharashtra,Freelancer,50000-100000,Never,During travel,Price,Fusion,"Jackets / shrugs, Laptop sleeves / utility pouches, Gift sets",Office handbag,Cushion covers,Heavy embroidery,No mirror work,Pastel shades,Weddings,Above 2000,1000-2000,Above 3000,Strongly yes,Free shipping,No,Brand story,1,Yes,Unlikely
41-50,Female,Tier 1,Karnataka,Salaried Employee,Above 200000,Never,Retail stores,Brand,Fusion,"Jackets / shrugs, Laptop sleeves / utility pouches, Gift sets",Office handbag,Cushion covers,Minimal embroidery,Strong mirror work,Black / neutral,Weddings,500-1000,Above 4000,500-1500,No,Buy 2 Get 1,No,Brand story,4,Yes,Highly likely
Below 20,Female,Tier 1,Delhi,Salaried Employee,Above 200000,Frequently,Local exhibitions,Design,Depends on product,"Cushion covers, Gift sets",Office handbag,Decorative organizers,Minimal embroidery,Light mirror work,Bright colors,Office use,500-1000,Below 1000,500-1500,No,Flat discount,Depends on reviews,Reviews,1,Yes,Likely
21-30,Female,Tier 3 / Rural,West Bengal,Freelancer,50000-100000,Never,Instagram stores,Utility,Fusion,"Gift sets, Cushion covers, Handbags",Clutch,Table runners,Minimal embroidery,Light mirror work,Earth tones,Office use,500-1000,Below 1000,Below 500,Strongly yes,Free shipping,No,Product images,4,No,Very unlikely
41-50,Female,Tier 3 / Rural,West Bengal,Other,100000-200000,Occasionally,During travel,Utility,Depends on product,"Gift sets, Cushion covers, Handbags",Sling bag,Decorative organizers,Heavy embroidery,Light mirror work,Bright colors,Office use,500-1000,1000-2000,500-1500,No,Flat discount,Yes,Return policy,5,No,Very unlikely
31-40,Male,Tier 3 / Rural,Karnataka,Other,Below 25000,Frequently,Retail stores,Design,Fusion,"Jackets / shrugs, Gift sets, Cushion covers",Tote bag,Wall décor textile,Heavy embroidery,No mirror work,Bright colors,Weddings,Below 500,Below 1000,Below 500,No,Buy 2 Get 1,Yes,Reviews,4,Yes,Highly likely
31-40,Male,Tier 1,Telangana,Homemaker,Above 200000,Never,Retail stores,Design,Fusion,"Cushion covers, Jackets / shrugs",Office handbag,Decorative organizers,Moderate embroidery,No mirror work,Black / neutral,Gifting,500-1000,Below 1000,500-1500,No,Festival combo pack,Yes,Brand story,3,No,Very unlikely
41-50,Male,Tier 3 / Rural,West Bengal,Business Owner,50000-100000,Never,During travel,Authenticity,Depends on product,Jackets / shrugs,Clutch,Decorative organizers,Heavy embroidery,No mirror work,Earth tones,Weddings,1000-2000,Above 4000,1500-3000,Sometimes,Buy 2 Get 1,No,Return policy,3,No,Unlikely
Below 20,Female,Tier 2,Telangana,Salaried Employee,25000-50000,Never,Local exhibitions,Authenticity,Depends on product,Handbags,Clutch,Table runners,Moderate embroidery,No mirror work,Black / neutral,Weddings,1000-2000,2000-4000,Below 500,No,Buy 2 Get 1,Yes,Product images,1,Yes,Very unlikely
41-50,Female,Metro,Rajasthan,Other,25000-50000,Rarely,Instagram stores,Authenticity,Fusion,Laptop sleeves / utility pouches,Clutch,Table runners,Heavy embroidery,Light mirror work,Earth tones,Weddings,Below 500,1000-2000,Above 3000,Sometimes,Festival combo pack,Depends on reviews,Product images,3,Yes,Unsure
Below 20,Female,Tier 2,Rajasthan,Freelancer,Above 200000,Rarely,Retail stores,Utility,Depends on product,"Handbags, Jackets / shrugs, Laptop sleeves / utility pouches",Clutch,Decorative organizers,Minimal embroidery,Light mirror work,Earth tones,Weddings,Below 500,Below 1000,Above 3000,No,Buy 2 Get 1,No,Reviews,3,No,Highly likely
21-30,Male,Tier 2,Tamil Nadu,Other,Above 200000,Rarely,Instagram stores,Price,Depends on product,"Handbags, Jackets / shrugs",Tote bag,Table runners,Heavy embroidery,No mirror work,Bright colors,Festive use,Below 500,1000-2000,Above 3000,No,Flat discount,Depends on reviews,Reviews,2,Yes,Very unlikely
31-40,Female,Tier 3 / Rural,Karnataka,Business Owner,100000-200000,Occasionally,Instagram stores,Authenticity,Traditional,"Jackets / shrugs, Handbags, Cushion covers",Clutch,Table runners,Heavy embroidery,Light mirror work,Pastel shades,Gifting,Above 2000,1000-2000,1500-3000,Sometimes,Buy 2 Get 1,Yes,Product images,1,No,Likely
Below 20,Female,Tier 1,Delhi,Other,Above 200000,Frequently,Online marketplaces,Authenticity,Depends on product,"Jackets / shrugs, Laptop sleeves / utility pouches",Tote bag,Table runners,Minimal embroidery,Light mirror work,Black / neutral,Gifting,Below 500,2000-4000,500-1500,No,Flat discount,Yes,Brand story,4,Yes,Very unlikely
31-40,Female,Tier 3 / Rural,Delhi,Homemaker,50000-100000,Frequently,Local exhibitions,Brand,Traditional,Gift sets,Clutch,Table runners,Moderate embroidery,No mirror work,Earth tones,Festive use,1000-2000,Below 1000,Below 500,No,Flat discount,Depends on reviews,Return policy,1,Yes,Likely
41-50,Female,Tier 1,Tamil Nadu,Freelancer,100000-200000,Frequently,Instagram stores,Authenticity,Depends on product,Cushion covers,Clutch,Decorative organizers,Minimal embroidery,Light mirror work,Pastel shades,Daily use,Below 500,Above 4000,Below 500,Sometimes,Free shipping,Depends on reviews,Product images,1,No,Unlikely
21-30,Female,Tier 2,Tamil Nadu,Homemaker,Below 25000,Frequently,Instagram stores,Utility,Minimal modern,"Laptop sleeves / utility pouches, Cushion covers",Tote bag,Table runners,Moderate embroidery,Strong mirror work,Bright colors,Gifting,Below 500,1000-2000,Above 3000,Strongly yes,Flat discount,Yes,Brand story,5,Yes,Likely
31-40,Male,Tier 3 / Rural,Maharashtra,Salaried Employee,Below 25000,Never,Local exhibitions,Price,Depends on product,"Handbags, Laptop sleeves / utility pouches, Cushion covers",Sling bag,Wall décor textile,Moderate embroidery,No mirror work,Black / neutral,Festive use,1000-2000,1000-2000,500-1500,Sometimes,Festival combo pack,Depends on reviews,Return policy,4,No,Likely
21-30,Prefer not to say,Tier 2,Tamil Nadu,Business Owner,25000-50000,Occasionally,Instagram stores,Price,Depends on product,"Handbags, Gift sets, Cushion covers",Tote bag,Cushion covers,Minimal embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,2000-4000,1500-3000,Sometimes,Free shipping,Yes,Return policy,2,No,Likely
41-50,Female,Tier 3 / Rural,Delhi,Other,Below 25000,Never,Instagram stores,Price,Traditional,"Cushion covers, Jackets / shrugs",Tote bag,Cushion covers,Moderate embroidery,No mirror work,Bright colors,Festive use,500-1000,1000-2000,Above 3000,Sometimes,Buy 2 Get 1,No,Reviews,3,No,Unlikely
31-40,Male,Tier 2,Telangana,Homemaker,50000-100000,Frequently,Local exhibitions,Utility,Fusion,"Gift sets, Laptop sleeves / utility pouches, Jackets / shrugs",Tote bag,Table runners,Moderate embroidery,Light mirror work,Bright colors,Weddings,500-1000,Above 4000,500-1500,Strongly yes,Free shipping,Yes,Product images,5,Yes,Likely
Below 20,Male,Metro,Gujarat,Freelancer,,Rarely,Instagram stores,Design,Fusion,"Laptop sleeves / utility pouches, Cushion covers, Gift sets",Clutch,Table runners,Minimal embroidery,Strong mirror work,Earth tones,Festive use,Above 2000,1000-2000,Above 3000,Strongly yes,Flat discount,Depends on reviews,Reviews,5,No,Highly likely
31-40,Female,Tier 1,Telangana,Freelancer,Above 200000,Occasionally,During travel,Authenticity,Traditional,"Jackets / shrugs, Laptop sleeves / utility pouches, Cushion covers",Tote bag,Decorative organizers,Moderate embroidery,Strong mirror work,Pastel shades,Festive use,Below 500,Below 1000,500-1500,No,Buy 2 Get 1,Depends on reviews,Product images,3,Yes,Highly likely
41-50,Female,Tier 2,Delhi,Other,50000-100000,Occasionally,Retail stores,Utility,Traditional,"Cushion covers, Laptop sleeves / utility pouches, Handbags",Sling bag,Wall décor textile,Moderate embroidery,Light mirror work,Pastel shades,Office use,Below 500,1000-2000,1500-3000,Strongly yes,Free shipping,Depends on reviews,Product images,4,No,Very unlikely
21-30,Female,Tier 1,Gujarat,Salaried Employee,100000-200000,Occasionally,Online marketplaces,Design,Traditional,"Laptop sleeves / utility pouches, Jackets / shrugs, Cushion covers",Tote bag,Cushion covers,Heavy embroidery,No mirror work,Earth tones,Festive use,500-1000,2000-4000,Above 3000,Strongly yes,Buy 2 Get 1,No,Reviews,5,No,Unsure
Below 20,Female,Tier 1,Rajasthan,Homemaker,50000-100000,Occasionally,Online marketplaces,Brand,Depends on product,"Jackets / shrugs, Gift sets",Office handbag,Decorative organizers,Moderate embroidery,No mirror work,Black / neutral,Festive use,1000-2000,2000-4000,Above 3000,Sometimes,Festival combo pack,Depends on reviews,Return policy,4,Yes,Likely
41-50,Male,Tier 3 / Rural,Karnataka,Salaried Employee,50000-100000,Occasionally,During travel,Utility,Depends on product,Handbags,Sling bag,Wall décor textile,Heavy embroidery,Light mirror work,Black / neutral,Daily use,500-1000,Below 1000,1500-3000,Strongly yes,Flat discount,No,Product images,1,Yes,Unlikely
Below 20,Female,Metro,Delhi,Salaried Employee,Below 25000,Occasionally,During travel,Design,Fusion,"Gift sets, Cushion covers, Jackets / shrugs",Clutch,Wall décor textile,Minimal embroidery,Strong mirror work,Earth tones,Weddings,1000-2000,2000-4000,1500-3000,Sometimes,Festival combo pack,Depends on reviews,Product images,4,No,Highly likely
Below 20,Female,Tier 3 / Rural,Telangana,Business Owner,100000-200000,Frequently,Local exhibitions,Price,Minimal modern,Handbags,Sling bag,Table runners,Minimal embroidery,Light mirror work,Bright colors,Weddings,Above 2000,1000-2000,1500-3000,Sometimes,Flat discount,Depends on reviews,Product images,2,Yes,Likely
Above 50,Male,Metro,Gujarat,Business Owner,Above 200000,Occasionally,Instagram stores,Price,Traditional,"Cushion covers, Laptop sleeves / utility pouches",Tote bag,Cushion covers,Minimal embroidery,Strong mirror work,Black / neutral,Weddings,Above 2000,Above 4000,1500-3000,No,Free shipping,No,Brand story,2,No,Unsure
31-40,Male,Tier 3 / Rural,Delhi,Salaried Employee,25000-50000,Never,Online marketplaces,Design,Fusion,"Handbags, Gift sets, Laptop sleeves / utility pouches",Office handbag,Wall décor textile,Moderate embroidery,Light mirror work,Earth tones,Daily use,Below 500,Above 4000,500-1500,No,Festival combo pack,No,Product images,4,Yes,Likely
31-40,Female,Tier 1,Delhi,Freelancer,100000-200000,Occasionally,Instagram stores,Utility,Fusion,Gift sets,Clutch,Decorative organizers,Moderate embroidery,Strong mirror work,Bright colors,Office use,1000-2000,2000-4000,500-1500,No,Free shipping,Yes,Return policy,4,Yes,Likely
21-30,Female,Tier 2,West Bengal,Other,50000-100000,Frequently,Retail stores,Authenticity,Traditional,"Handbags, Jackets / shrugs",Office handbag,Wall décor textile,Minimal embroidery,No mirror work,Bright colors,Gifting,Above 2000,1000-2000,Above 3000,Sometimes,Free shipping,Yes,Brand story,4,Yes,Unsure
31-40,Female,Tier 3 / Rural,Maharashtra,Homemaker,100000-200000,Occasionally,Instagram stores,Price,Depends on product,"Handbags, Jackets / shrugs",Sling bag,Wall décor textile,Heavy embroidery,Light mirror work,Earth tones,Daily use,Below 500,2000-4000,Below 500,No,Free shipping,No,Brand story,5,Yes,Unsure
41-50,Male,Tier 1,Telangana,Homemaker,25000-50000,Rarely,Local exhibitions,Design,Fusion,Handbags,Tote bag,Table runners,Heavy embroidery,Light mirror work,Black / neutral,Gifting,Below 500,1000-2000,1500-3000,Strongly yes,Flat discount,Depends on reviews,Product images,2,Yes,Highly likely
41-50,Male,Tier 2,Tamil Nadu,Business Owner,Below 25000,Frequently,Instagram stores,Utility,Fusion,"Jackets / shrugs, Gift sets",Tote bag,Decorative organizers,Heavy embroidery,Strong mirror work,Earth tones,Festive use,Above 2000,1000-2000,1500-3000,Sometimes,Flat discount,Depends on reviews,Reviews,1,No,Highly likely
31-40,Female,Tier 2,Gujarat,Salaried Employee,Below 25000,Occasionally,During travel,Authenticity,Minimal modern,Cushion covers,Tote bag,Cushion covers,Moderate embroidery,Light mirror work,Bright colors,Weddings,500-1000,Below 1000,Above 3000,Sometimes,Buy 2 Get 1,Yes,Product images,1,No,Unsure
Above 50,Male,Tier 3 / Rural,Telangana,Other,Above 200000,Never,Retail stores,Price,Fusion,Jackets / shrugs,Tote bag,Wall décor textile,Minimal embroidery,Strong mirror work,Bright colors,Weddings,Below 500,1000-2000,1500-3000,No,Flat discount,No,Reviews,3,Yes,Unlikely
41-50,Female,Metro,Delhi,Homemaker,Above 200000,Never,Online marketplaces,Price,Fusion,Laptop sleeves / utility pouches,Tote bag,Decorative organizers,Heavy embroidery,Light mirror work,Bright colors,Weddings,Below 500,Below 1000,Below 500,No,Flat discount,Depends on reviews,Product images,3,Yes,Unsure
Below 20,Male,Tier 1,Karnataka,Freelancer,50000-100000,Occasionally,During travel,Design,Depends on product,Cushion covers,Office handbag,Wall décor textile,Minimal embroidery,Light mirror work,Earth tones,Gifting,Above 2000,Above 4000,500-1500,Sometimes,Buy 2 Get 1,No,Brand story,3,No,Very unlikely
Below 20,Male,Metro,Maharashtra,Other,25000-50000,Rarely,Local exhibitions,Authenticity,Depends on product,Jackets / shrugs,Office handbag,Table runners,Moderate embroidery,No mirror work,Black / neutral,Gifting,1000-2000,Above 4000,Above 3000,No,Free shipping,Depends on reviews,Reviews,1,No,Very unlikely
Below 20,Male,Tier 1,Karnataka,Salaried Employee,Above 200000,Frequently,During travel,Authenticity,Fusion,"Gift sets, Handbags, Jackets / shrugs",Clutch,Cushion covers,Heavy embroidery,Light mirror work,Pastel shades,Gifting,1000-2000,Above 4000,1500-3000,No,Buy 2 Get 1,Depends on reviews,Brand story,5,No,Highly likely
41-50,Male,Tier 2,Karnataka,Salaried Employee,Above 200000,Never,Instagram stores,Authenticity,Fusion,"Jackets / shrugs, Gift sets",Sling bag,Table runners,Minimal embroidery,No mirror work,Bright colors,Gifting,500-1000,Below 1000,1500-3000,No,Festival combo pack,No,Return policy,5,No,Unlikely
31-40,Male,Tier 2,Maharashtra,Student,25000-50000,Rarely,Instagram stores,Utility,Minimal modern,"Handbags, Cushion covers",Tote bag,Table runners,Moderate embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,Above 4000,Above 3000,Strongly yes,Flat discount,Depends on reviews,Product images,5,No,Highly likely
21-30,Female,Metro,Telangana,Salaried Employee,25000-50000,Frequently,Retail stores,Design,Traditional,Handbags,Clutch,Cushion covers,Moderate embroidery,Strong mirror work,Bright colors,Daily use,Above 2000,Above 4000,500-1500,Strongly yes,Flat discount,No,Brand story,1,No,Highly likely
31-40,Female,Tier 1,Maharashtra,Homemaker,25000-50000,Rarely,Retail stores,Utility,Depends on product,Jackets / shrugs,Clutch,Table runners,Minimal embroidery,Light mirror work,Earth tones,Festive use,Below 500,2000-4000,Above 3000,Strongly yes,Festival combo pack,Yes,Brand story,1,Yes,Highly likely
Above 50,Female,Tier 2,Tamil Nadu,Business Owner,25000-50000,Occasionally,Instagram stores,Price,Fusion,Jackets / shrugs,Sling bag,Wall décor textile,Moderate embroidery,Light mirror work,Earth tones,Office use,Above 2000,2000-4000,Below 500,Sometimes,Festival combo pack,Depends on reviews,Return policy,2,No,Unlikely
31-40,Female,Tier 1,Rajasthan,Business Owner,25000-50000,Rarely,Online marketplaces,Utility,Depends on product,"Laptop sleeves / utility pouches, Handbags",Clutch,Wall décor textile,Minimal embroidery,No mirror work,Bright colors,Weddings,1000-2000,Above 4000,Above 3000,No,Free shipping,Depends on reviews,Reviews,2,No,Likely
31-40,Female,Tier 2,Gujarat,Student,25000-50000,Frequently,Online marketplaces,Price,Depends on product,"Handbags, Jackets / shrugs",Clutch,Decorative organizers,Minimal embroidery,No mirror work,Black / neutral,Festive use,500-1000,1000-2000,500-1500,Sometimes,Buy 2 Get 1,Yes,Product images,5,No,Highly likely
21-30,Male,Metro,Karnataka,Salaried Employee,Above 200000,Frequently,Retail stores,Design,Depends on product,"Laptop sleeves / utility pouches, Handbags",Sling bag,Decorative organizers,Moderate embroidery,No mirror work,Pastel shades,Daily use,500-1000,Above 4000,Below 500,No,Buy 2 Get 1,Depends on reviews,Return policy,4,Yes,Unsure
Below 20,Male,Tier 2,Delhi,Other,50000-100000,Frequently,Instagram stores,Brand,Minimal modern,"Laptop sleeves / utility pouches, Cushion covers, Gift sets",Office handbag,Table runners,Minimal embroidery,Light mirror work,Bright colors,Daily use,Above 2000,2000-4000,500-1500,Sometimes,Free shipping,Depends on reviews,Product images,5,No,Highly likely
Above 50,Female,Tier 1,Karnataka,Other,Below 25000,Frequently,Local exhibitions,Brand,Minimal modern,Jackets / shrugs,Tote bag,Decorative organizers,Heavy embroidery,No mirror work,Bright colors,Festive use,500-1000,2000-4000,Above 3000,Sometimes,Flat discount,Depends on reviews,Reviews,5,No,Unlikely
Above 50,Female,Tier 3 / Rural,Delhi,Student,Above 200000,Occasionally,Instagram stores,Brand,Traditional,"Laptop sleeves / utility pouches, Jackets / shrugs",Clutch,Decorative organizers,Heavy embroidery,Light mirror work,Bright colors,Daily use,Above 2000,1000-2000,Below 500,Sometimes,Flat discount,No,Reviews,3,No,Likely
21-30,Male,Metro,West Bengal,Freelancer,25000-50000,Never,Retail stores,Utility,Minimal modern,"Jackets / shrugs, Gift sets",Tote bag,Cushion covers,Minimal embroidery,Light mirror work,Earth tones,Daily use,1000-2000,Above 4000,Below 500,No,Buy 2 Get 1,No,Reviews,4,No,Likely
Below 20,Female,Tier 2,Rajasthan,Homemaker,100000-200000,Frequently,Instagram stores,Authenticity,Fusion,"Gift sets, Laptop sleeves / utility pouches, Handbags",Sling bag,Wall décor textile,Heavy embroidery,Light mirror work,Black / neutral,Weddings,Above 2000,Below 1000,1500-3000,Sometimes,Festival combo pack,Depends on reviews,Brand story,1,No,Unlikely
Above 50,Female,Metro,Rajasthan,Other,100000-200000,Never,Instagram stores,Design,Depends on product,"Gift sets, Cushion covers",Clutch,Table runners,Moderate embroidery,Light mirror work,Bright colors,Office use,Above 2000,Below 1000,500-1500,No,Festival combo pack,Depends on reviews,Return policy,1,Yes,Very unlikely
31-40,Female,Tier 3 / Rural,West Bengal,Business Owner,50000-100000,Never,Online marketplaces,Design,Depends on product,Handbags,Clutch,Cushion covers,Heavy embroidery,No mirror work,Bright colors,Weddings,Below 500,2000-4000,Above 3000,Sometimes,Festival combo pack,No,Reviews,5,Yes,Unsure
Above 50,Female,Tier 1,Tamil Nadu,Business Owner,Below 25000,Frequently,Online marketplaces,Utility,Depends on product,"Gift sets, Laptop sleeves / utility pouches, Cushion covers",Clutch,Table runners,Minimal embroidery,Light mirror work,Bright colors,Festive use,Above 2000,1000-2000,Above 3000,Strongly yes,Festival combo pack,Yes,Brand story,4,Yes,Highly likely
41-50,Female,Tier 1,Telangana,Business Owner,Below 25000,Rarely,Retail stores,Design,Fusion,Gift sets,Office handbag,Table runners,Heavy embroidery,Strong mirror work,Bright colors,Weddings,500-1000,Above 4000,Above 3000,No,Free shipping,No,Product images,3,Yes,Unsure
Below 20,Male,Tier 2,Delhi,Other,Above 200000,Never,Online marketplaces,Design,Fusion,"Gift sets, Cushion covers",Sling bag,Decorative organizers,Minimal embroidery,Strong mirror work,Pastel shades,Office use,Above 2000,Below 1000,Below 500,Sometimes,Flat discount,No,Return policy,5,Yes,Unsure
Below 20,Female,Tier 1,Tamil Nadu,Other,25000-50000,Occasionally,Retail stores,Design,Minimal modern,"Gift sets, Handbags, Jackets / shrugs",Clutch,Table runners,Minimal embroidery,Strong mirror work,Earth tones,Festive use,Below 500,Above 4000,Below 500,No,Free shipping,Yes,Reviews,1,No,Very unlikely
Below 20,Female,Tier 2,Karnataka,Business Owner,Below 25000,Rarely,Online marketplaces,Brand,Depends on product,Gift sets,Sling bag,Decorative organizers,Heavy embroidery,Strong mirror work,Bright colors,Daily use,Below 500,2000-4000,Below 500,Strongly yes,Festival combo pack,No,Brand story,2,Yes,Unsure
Above 50,Female,Tier 1,Gujarat,Salaried Employee,50000-100000,Never,Online marketplaces,Price,Fusion,Handbags,Tote bag,Wall décor textile,Minimal embroidery,Strong mirror work,Pastel shades,Weddings,1000-2000,Above 4000,Above 3000,Strongly yes,Flat discount,Yes,Product images,3,Yes,Highly likely
21-30,Female,Tier 1,Maharashtra,Student,25000-50000,Rarely,Instagram stores,Price,Depends on product,Laptop sleeves / utility pouches,Clutch,Decorative organizers,Minimal embroidery,No mirror work,Bright colors,Office use,Below 500,Below 1000,Above 3000,Strongly yes,Buy 2 Get 1,Yes,Reviews,1,No,Highly likely
41-50,Female,Tier 1,Tamil Nadu,Other,25000-50000,Rarely,Local exhibitions,Price,Depends on product,Handbags,Tote bag,Decorative organizers,Heavy embroidery,Strong mirror work,Bright colors,Weddings,1000-2000,Below 1000,1500-3000,No,Flat discount,Depends on reviews,Reviews,1,Yes,Highly likely
31-40,Male,Tier 1,West Bengal,Business Owner,25000-50000,Never,Instagram stores,Brand,Fusion,"Jackets / shrugs, Gift sets",Clutch,Wall décor textile,Heavy embroidery,Light mirror work,Earth tones,Weddings,500-1000,Below 1000,Above 3000,No,Flat discount,No,Reviews,1,Yes,Unsure
21-30,Female,Tier 1,Maharashtra,Salaried Employee,100000-200000,Occasionally,Instagram stores,Authenticity,Fusion,Laptop sleeves / utility pouches,Tote bag,Table runners,Moderate embroidery,Strong mirror work,Earth tones,Weddings,Above 2000,2000-4000,Above 3000,Sometimes,Festival combo pack,Depends on reviews,Reviews,1,No,Likely
Below 20,Female,Tier 1,Karnataka,Other,100000-200000,Never,Instagram stores,Design,Minimal modern,"Jackets / shrugs, Laptop sleeves / utility pouches, Cushion covers",Tote bag,Decorative organizers,Heavy embroidery,Strong mirror work,Bright colors,Gifting,Below 500,Below 1000,Above 3000,Strongly yes,Buy 2 Get 1,Yes,Reviews,5,Yes,Very unlikely
41-50,Male,Tier 2,Delhi,Salaried Employee,50000-100000,Frequently,Local exhibitions,Design,Traditional,"Laptop sleeves / utility pouches, Jackets / shrugs, Cushion covers",Clutch,Table runners,Minimal embroidery,No mirror work,Bright colors,Office use,Above 2000,Above 4000,Below 500,Sometimes,Free shipping,Yes,Return policy,5,No,Likely
41-50,Female,Tier 3 / Rural,Telangana,Other,50000-100000,Frequently,During travel,Utility,Fusion,Jackets / shrugs,Tote bag,Wall décor textile,Minimal embroidery,No mirror work,Black / neutral,Office use,Below 500,Below 1000,500-1500,Sometimes,Festival combo pack,Depends on reviews,Brand story,1,Yes,Likely
41-50,Female,Tier 2,Gujarat,Student,50000-100000,Never,Instagram stores,Design,Depends on product,Jackets / shrugs,Tote bag,Wall décor textile,Heavy embroidery,No mirror work,Bright colors,Weddings,500-1000,Above 4000,Below 500,Strongly yes,Festival combo pack,Yes,Product images,1,Yes,Unsure
